a 日
hmd 竽
hmhaf 鸱
hmj 竿
hml 斤
hmlk 筻
hmm 竺
hmnj 筑
hmnl 邮
hmnl 邸
hmnl 筇
hmoo 筮
hmr 后
hmsmb 归
hmsu 卮
hmt 笄
hmua 簪
hmwd 篥
hmwj 簟
hmwks 甥
hmy 斥
hnbmc 飓
hnd 朵
hne 殳
hnhag 凰
hnhe 笈
hnhli 风
hnhq 犁
hnhxe 飕
hni 凡
hnkm 筵
hnlh 第
hnmaf 凤
hnmni 夙
hnot 簦
hnp 愆
hnpru 飑
hnq 掣
ho 八
ho 彳
hoa 昝
hoami 得
hoau 爬
hoav 很
hobgn 衢
hobm 徂
hobou 徭
hocmn 衔
hodhe 彼
hodi 符
hodoo 徕
hodqn 卫
hoemn 衍
hofbr 徜
hogdi 待
hoggn 街
hogyo 徒
hohag 徨
hohgn 冲
hohju 循
hohne 役
hohqo 瓞
hohsk 徼
hoi 筏
hoicn 术
hojwp 德
holk 筱
holmy 徘
holq 律
homg 筌
hommn 行
homo 签
homr 答
homrn 衙
homvm 径
homym 征
honk 篌
honkn 衡
hoomd 徐
hooml 御
hoooo 从
hop 怂
hopa 徇
hor 咎
hosj 耸
hotq 徉
houfk 徽
hougk 徵
houuk 微
hovie 後
howr 徊
hoybk 彻
hoyg 往
hoyhs 彷
hoylo 徙
hp 乇
hpa 昏
hpa 笋
hpdk 筷
hphh 笏
hpln 剩
hpm 氐
hpr 笱
hpsl 印
hq 牛
hqau 筢
hqbmc 犋
hqbu 看
hqda 籍
hqg 牡
hqgdi 特
hqgwc 犊
hqhgr 牿
hqhqm 牲
hqhw 籀
hqi 我
hqisb 犏
hqjr 牯
hqkmr 犄
hqm 生
hqmb 箐
hqmc 箦
hqmmr 牾
hqmqj 拜
hqnkq 犍
hqo 失
hqok 牧
hqp 牝
hqphh 物
hqr 筘
hqsb 箍
hqtgs 牺
hqtm 箝
hqu 毛
hqwj 箨
hqyrb 犒
hrhaf 鸹
hrhkp 舔
hrhvp 舐
hrj 阜
hrlb 帅
hrln 刮
hrmlb 师
hrnl 郜
hrog 雒
hrok 启
hrrj 箪
hrtm 甜
hryf 乌
hs 户
hs 乍
hsb 肩
hsbr 扃
hsbt 扁
hshml 所
hshne 殷
hshr 笤
hsik 戾
hsit 篮
hsko 箧
hslmy 扉
hsly 篚
hsmg 筐
hsmr 笥
hsog 雇
hsok 敫
hsp 怎
hsqf 笃
hsr 笸
hsrau 扈
hssmm 扇
hsyhs 房
hsyj 戽
ht 升
htbn 箭
htce 簸
htkr 箬
htmc 簧
htmc 箕
htng 衄
httb 篝
hubuc 赞
hud 臬
huff 毯
hufff 飚
huhuu 毳
huihq 毪
huik 臭
humbc 颓
hunkq 毽
hunwa 氇
hup 息
hup 憩
hutca 氆
huwml 鼻
hvbvk 鼷
hvcsh 鼢
hvhi 魏
hvhu 兜
hvif 系
hvil 簖
hvio 瓜
hvlw 鼬
hvmmr 鼯
hvno 篆
hvp 氏
hvsav 鼹
hwgtj 睾
hwk 囟
hwkk 囱
hwlg 箩
hwli 篾
hwml 箅
hwmvs 粤
hwnl 鄱
hwsmm 翻
hwtj 筚
hx 臼
hxbc 兴
hxbt 盥
hxh 身
hxhu 儿
hxjc 舆
hxle 叟
hxno 歃
hxo 臾
hxpf 舄
hxt 舁
hxvyv 鼠
hxwks 舅
hxyc 与
hybg 篱
hybp 笼
hycr 船
hyfb 艄
hyha 舶
hyhe 舨
hyhj 篷
hyhne 般
hyhs 笾
hyhs 舴
hyhxe 艘
hyjp 舵
hyl 舯
hylw 舳
hym 舡
hymcw 舾
hymnr 舸
hyndt 艋
hynkg 艇
hyoir 舱
hypp 舭
hyrb 篙
hyshu 艉
hysit 舰
hysk 簇
hyt 笠
hytbo 艨
hytgi 舣
hythu 艏
hytwa 艚
hyu 舢
hyyhn 航
hyyhs 舫
hyypt 舻
hyytg 艟
hyyvi 舷
i 戈
iaie 厩
iav 良
ibcn 厕
ibpp 能
icnl 邝
id 床
idbu 厢
iddi 麽
idfd 糜
idhi 魔
idhqu 麾
idlmy 靡
idmr 磨
idq 摩
idvi 么
idvif 縻
iea 昶
iedhe 皴
ieok 救
ieyhv 裘
ifbbr 祸
ifbk 厂
ifbm 祖
ifbuu 视
ifg 社
ifgi 祛
ifgni 祷
ifgrr 禧
ifhaf 鹧
ifhk 祆
ifhml 祈
ifhpm 祗
ifhs 祚
ifike 祓
ifjr 祜
iflmo 祧
iflwl 神
ifmfb 祢
ifmrw 福
ifnl 祁
ifp 凭
ifqhk 禊
ifrhu 祝
ifrrj 禅
ifru 祀
ifryo 蹙
ifsmr 祠
iftgf 禚
iftmc 祺
iftq 祥
iftwt 礼
ifvne 禄
ifybc 祯
ifylm 祉
ifyrv 禳
igb 膺
ighaf 鹰
igp 应
igsk 廒
igti 厨
ih 戊
ihhj 庳
ihhqu 毵
ihi 戍
ihm 戌
ihmr 咸
ihmv 威
ihpm 底
ihq 牟
ihs 成
ihu 允
ihxo 庾
ihymf 戚
ii 戋
iib 朗
iibt 盏
iiih 参
iiil 廊
iinl 郎
iiobo 腐
ij 戎
ijb 甫
ijcc 麻
ije 求
ije 庋
ijjb 庙
ijwj 库
ik 犬
ikhni 飙
iklu 庵
ikmmm 叁
iknf 为
iku 尤
ikw 畚
ilb 庸
ile 康
ilil 州
iln 划
ilo 庚
iloc 赓
ilr 唐
ilwv 瘘
imbgr 凋
imdw 冻
ime 冰
imgce 凌
imhgu 冼
imir 冶
imjlv 凄
immnn 冽
immvm 冱
imno 次
imog 准
imoii 冷
imp 惑
impko 凝
imsll 臧
imsqf 冯
imue 厦
imywd 凛
inbq 廨
ine 永
inin 序
inkg 庭
ino 之
inoe 废
iobuc 资
iod 庥
iodi 府
iofd 粢
iok 矣
iomvn 瓷
ioog 座
iooiv 糍
iop 恣
ior 咨
iotf 庑
iov 姿
ip 弋
ip 庀
ipc 鏖
ipf 熊
ipfd 麋
ipfdq 麟
ipg 尘
iphaf 鸢
iphd 麇
iphhi 麝
iphn 麂
ipm 式
ipmmc 贰
ipp 庇
ipp 态
ipp 忒
ipru 庖
iptm 甙
iptmc 麒
ipyg 麈
ir 台
irf 炱
irm 或
irnl 邰
irp 怠
irp 感
isbt 盛
isgp 厅
ismh 廖
isok 敷
it 戒
it 弁
itcl 厮
ite 度
itf 庶
itlb 席
itlm 廑
itmc 广
itq 庠
itso 庹
itxc 廉
iu 讠
iwcg 廛
ixe 庆
ixp 鹿
iy 疒
iybp 庞
iybug 癯
iydl 廓
iymgg 癍
iymks 疬
iymlt 痖
iypt 庐
iyr 店
iytlc 癀
iywd 廪
iyytp 癔
iyyvi 痃
j 十
jaf 煮
janl 都
jasmm 翥
jav 宴
jbbo 赍
jbhaf 鹕
jbm 宜
jbmc 真
jbmm 直
jbmrd 橐
jbmri 蠹
jbnd 孛
jbof 察
jbrrv 囊
jbtj 南
jbvif 索
jc 穴
jcbbr 窝
jcgwc 窦
jchdb 窃
jchgr 窖
jchhn 穷
jchio 窆
jchoo 窳
jchs 窄
jchsk 窍
jchwk 窗
jchxv 窜
jcik 突
jckn 究
jclmo 窕
jclwv 窭
jcm 空
jcmbc 颠
jcmig 窒
jcmvh 穿
jcn 穹
jcni 穸
jcnlm 窿
jcomn 窬
jcor 容
jcpu 窀
jcqou 窥
jcskr 窘
jcsuu 窟
jctgf 窑
jcvis 窈
jcwd 窠
jcyta 窨
jd 宋
jd 未
jdhaf 鹁
jdi 守
jdks 勃
jdok 教
je 支
jeg 墼
jeq 击
jesmm 翅
jfb 宵
jhdw 审
jher 客
jhp 宅
jhq 牢
jhxf 写
jibi 博
jid 栽
jidi 专
jijwj 载
jiog 截
jip 惠
jir 哉
jiwtc 戴
jiyhv 裁
jj 艹
jjapp 辊
jjb 朝
jjbtv 辋
jjdmq 韩
jjeee 辍
jjfdq 辚
jjgrv 辕
jjher 辂
jjhkb 轿
jjhml 斩
jjhqo 轶
jji 戟
jjijb 辅
jjipm 轼
jjixp 辘
jjjii 转
jjjjj 轰
jjjqr 辖
jjkn 轨
jjlw 轴
jjmig 轾
jjmj 轩
jjmlb 辆
jjmnr 轲
jjmrw 辐
jjmsu 轭
jjmvm 轻
jjno 软
jjohh 轸
jjomb 轮
jjomg 辁
jjomn 输
jjon 乾
jjosm 翰
jjoyj 斡
jjqkk 辏
jjr 軎
jjrc 轵
jjrsj 辑
jjshi 轫
jjshr 轺
jjsju 辄
jjstv 辗
jju 轧
jjvvw 辎
jjybk 辙
jjyck 较
jjypt 轳
jk 丈
jka 者
jkb 宥
jkcf 寮
jki 宏
jkmhq 牦
jkmr 寄
jkmv 嫠
jkn 宄
jknd 孝
jkp 老
jkss 协
jkys 考
jla 暂
jlc 錾
jld 椠
jlg 堑
jlk 吏
jlln 事
jlv 妻
jlw 宙
jm 士
jmam 宣
jmch 寡
jmd 宇
jmhc 宾
jmig 室
jmjmm 矗
jmlc 寅
jmmf 宗
jmmu 完
jmmv 宸
jmr 宕
jmrw 富
jmso 家
jmuc 宝
jmue 寇
jmyo 定
jnd 字
jniu 宛
jnpfd 麴
jnqo 麸
joma 宿
joni 麦
jp 它
jpa 耆
jpbn 宁
jpbq 甯
jph 宓
jphi 蜜
jphqu 耄
jphu 密
jpmig 耋
jqmp 宪
jqmr 害
jr 古
jrb 胡
jrcor 豁
jrhaf 鸪
jrhr 宫
jrhu 克
jrln 割
jrlr 官
jrmbc 额
jrok 故
jrrye 嘏
jrytj 辜
jsll 宦
jsmh 寥
jt 卉
jtak 寞
jtbc 贲
jtbi 宽
jtcc 赛
jtcd 寨
jtcf 骞
jtcg 塞
jtco 蹇
jtcq 搴
jtcr 謇
jtcv 褰
jtcy 寒
ju 七
jujru 兢
juln 剜
jv 安
jvd 案
jvmd 寐
jvme 寝
jvmr 寤
jwj 车
jwjc 实
jwlb 寓
jwlv 寰
jybp 宠
jyfe 寂
jytj 宰
k 大
ka 请
kad 橥
kam 疸
kamh 疡
kanb 痫
kau 疤
kav 痕
kb 有
kbcv 瘿
kbm 疽
kbnl 郁
kbnl 郗
kbno 欷
kbof 瘵
kchne 杀
kcipm 弑
kcln 刹
kdhe 疲
kdlc 癞
kdln 瘌
ke 友
kefh 痧
keii 瘙
kf 灰
kfbt 盔
kfcb 瘠
kff 痰
kffs 痨
kfhaf 鹩
kgdi 痔
kgg 奎
kgp 痣
khaa 猖
khahm 猩
khahu 猸
khal 疖
khav 狠
khbbb 猾
khbm 狙
khbsd 狰
khbuc 狈
khdam 猹
khdlc 獭
khdn 痢
khdv 痿
khey 疼
khf 狄
khgrv 猿
khhdn 猁
khhgf 獯
khhrb 狮
khhvo 狐
khhw 瘤
khhxu 猊
khiav 狼
khice 狻
khihu 狁
khij 狨
khitc 犷
khjdi 狩
khjpn 狞
khjrb 猢
khkcf 獠
khkmr 猗
khkn 犰
khkoo 狭
khlln 狒
khmg 狂
khmj 犴
khmto 獗
khnbq 獬
khndf 狲
khndt 猛
khne 疫
khng 狃
khnhd 猱
khni 疯
khnmb 猕
khoma 狯
khomd 狳
khomo 猃
khomr 猞
khonk 猴
khppg 狴
khpr 狗
khpru 狍
khqmb 猜
khrb 狷
khs 痄
khssm 犸
khsu 犯
khtcw 犹
khtoe 获
khtrg 獾
khub 瘪
khvvv 猎
khwd 猓
khwg 狸
khwl 狎
khwlg 猡
khwli 独
khwmv 猥
khxe 瘦
khxo 瘐
khyck 狡
khye 瘢
khymr 狺
khyoj 猝
khyrk 狱
khytj 獐
khytu 獍
ki 太
kiku 疣
kinl 郄
kiog 雄
kjcc 癫
kjka 奢
kjt 奔
kk 爻
kkb 肴
kkcf 疗
kkkk 爽
kklb 希
kkn 痍
kkog 瘗
kkrb 瘸
kks 夯
kksr 痂
klb 布
klg 在
klll 夼
klmy 痱
kln 刈
klnd 存
klwu 奄
km 左
kmfr 痞
kmmf 奈
kmmr 痦
kmms 夸
kmn 疔
kmnr 奇
kmob 病
kmrt 痘
kmso 瘃
kmvm 痉
kmwf 瘭
kmym 症
kn 九
kn 夷
kna 旭
kna 旮
knbk 痪
knfq 癣
knhaf 鸠
kni 丸
knib 痛
knlm 癃
knlp 瘾
knlr 疴
kno 疚
knthu 馗
kobuc 赉
kogi 夺
kogw 奋
kohh 疹
koir 疮
kok 疾
kokr 痴
koll 疥
kombc 颊
komg 痊
kon 疙
konk 瘊
konl 郏
koo 夹
koog 痤
kpblb 带
kqhfd 轷
kqhp 瘛
kqhvd 轹
kqjr 轱
kr 右
krbuc 贺
krd 架
krln 剞
krmnr 哿
krno 欹
krrj 瘅
krru 癌
krsqf 驾
krye 瘕
kryhv 袈
ks 力
ksce 癜
kshvo 瓠
ksj 耷
ksksb 胁
ksln 刳
ksmh 瘳
ksmi 套
kspru 匏
ksr 加
ksrj 癖
ksrr 奁
kswp 勰
ktak 瘼
ktm 疳
ktog 瘫
ktor 瘩
ktq 痒
ktqm 瘥
ktwb 疠
ku 尢
ku 疝
kuhaf 鹌
kuoll 尬
kupi 尥
kusit 尴
kvug 痈
kwjr 痼
kwml 痹
kwot 瘟
kwvf 瘰
kyg 疰
kymp 疵
kyoj 瘁
kypm 疟
kysy 瘀
kytj 瘴
l 中
lai 权
lam 袒
laph 裼
lapv 褐
lav 裉
lb 巾
lb 冖
lbabu 帽
lbafu 幌
lbawe 幔
lbdhe 帔
lbdmq 帏
lbgni 帱
lbha 帕
lbhdw 幡
lbhni 帆
lbhqo 帙
lbike 黻
lbk 央
lbllo 幞
lbmrw 幅
lbog 帷
lbqmc 帻
lbsmg 幄
lbsmv 帐
lbt 盅
lbwim 帼
lbybc 帧
lbyia 帜
lbyr 帖
lbytg 幢
lbytj 幛
lcor 裕
lddf 襟
lddq 襻
ldhe 被
ldk 袂
leee 裰
lei 衩
lfbw 裆
lfq 袢
lga 书
lgam 昼
lggy 褂
lgwm 画
lhbk 袄
lhg 衽
lhhh 衫
lhhj 裨
lhsb 褊
lhyu 褫
liaph 蜴
liapv 蝎
libac 螟
libbr 蜗
libgr 蜩
libm 蛆
libnd 蜉
libue 蠼
libuu 蚬
lici 蚣
licru 蜕
lidhl 蜥
lifb 蛸
lifbg 螳
liffd 蝾
lifqu 蜷
ligb 蚺
ligg 蛙
liggu 蛲
ligth 蟛
lihag 蝗
lihdj 蝌
lihdn 蜊
lihdp 蟋
lihdw 蟠
lihej 蜂
lihhj 蜱
lihjd 蛛
lihjr 蛞
lihqi 蛾
lihqu 蚝
lihrb 蛳
lihs 蚱
lihsb 蝙
lihup 螅
lihxe 螋
liihq 蛑
liiil 螂
liilr 螗
liirm 蜮
liitc 蠊
lijb 补
lijbj 蝻
lijip 蟪
lijj 裤
lijnu 蜿
lijp 蛇
lijr 蛄
lijrb 蝴
likgg 蝰
likoo 蛱
lilii 虫
lilit 蛊
lilw 蚰
lilwv 蝼
lim 虹
limbb 蠕
limhf 螈
limig 蛭
limlh 蚜
limnr 蚵
limrw 蝠
limtb 蛎
limwf 螵
linao 蟓
lincr 蟾
lindt 蜢
linib 蛹
linkg 蜓
linkm 蜒
linl 蚓
lioae 蝮
liob 蚋
lioii 蛉
liokr 蜘
lioll 蚧
liom 蚯
liomd 蜍
liomn 蝓
liomr 蛤
lion 虼
lipp 蚍
liptd 蝶
liqj 蚌
liqka 蝽
liqkd 螓
liqmb 蜻
liqo 蚨
lirrj 蝉
lirvk 蜈
lirxu 蝇
lirye 虾
lisqf 蚂
lisrg 蛏
litak 蟆
litbo 蠓
litcw 蝤
litgi 蚁
litgu 蜣
litit 蟒
litlb 螨
litm 蚶
litmc 蜞
litmc 蟥
litoe 蠖
litq 蛘
littr 蟮
litw 蛐
litwa 螬
litwi 蠛
livii 虮
livis 蚴
livl 虬
livvv 蜡
liwb 猬
liwd 蜾
liwim 蝈
liwr 蛔
liwvf 螺
liybs 螃
liyck 蛟
liyg 蛀
liyij 蟀
liyj 蚪
liyk 蚊
liysd 蝣
liytj 蟑
liyub 螭
liyv 虻
liyx 蛴
ljka 褚
lk 史
lkbt 盎
lkhaf 鸯
ll 串
llamh 畅
llgwc 牍
llhe 版
llhhj 牌
llhsb 牖
lll 川
lllc 顺
llml 片
lln 弗
llp 患
llpb 褙
llptd 牒
llw 袖
llwv 褛
lmbb 襦
lmbuc 贵
lmfbt 尽
lmmm 韭
lmp 北
lmpnl 邶
lmuo 兆
lmvi 褥
lmyq 芈
lmyyy 非
ln 斗
lnbuc 费
lnii 襁
lnnau 艴
lnnxu 阄
lnylb 闹
lob 衲
logte 鼗
loik 袱
loin 衿
lomo 裣
lomr 袷
lord 褓
lp 忠
lpb 背
lpru 袍
lpwtc 冀
lq 聿
lqmv 裱
lrhg 裎
lsh 初
lshxu 阋
lsit 褴
lsjr 裾
lskr 裙
lsma 褶
ltor 褡
ltwi 袜
luhaf 鸩
lvbu 胤
lvok 数
lw 由
lwb 胄
lwd 裸
lwl 申
lwlv 娄
lwp 曳
lx 肃
lyav 褪
lydu 衬
lyjj 裢
lyjwj 辈
lylmi 蜚
lyp 悲
lysmm 翡
lyyhv 裴
lyyk 斐
m 一
ma 百
mabk 厌
mai 戬
mamr 碧
mand 厚
mbbhg 霾
mbdbu 霜
mbdd 霖
mbdi 耐
mbebg 霪
mbejb 霈
mbfb 霄
mbhaf 鸸
mbhxu 霓
mbks 励
mbll 而
mblmi 融
mblmy 霏
mbm 亘
mbmbl 需
mbmbo 颥
mbmdm 雳
mbmgi 玺
mbmms 雩
mbmmv 震
mbnhs 雾
mbnkg 霆
mbnl 邴
mbog 霍
mboii 零
mbowy 霉
mbp 恧
mbphe 忧
mbpru 雹
mbrmr 露
mbrrm 灵
mbrye 霞
mbsm 雪
mbsmm 翮
mbsrj 霹
mbtbk 霰
mbtjb 霸
mbuc 贡
mbuc 页
mbv 耍
mbw 雷
mbwu 电
mbyk 雯
mbyrv 霭
mbytv 霎
mbyx 霁
mcw 西
mcwm 酉
md 于
mdbt 盂
mdm 五
mdylm 历
me 汞
mem 亟
mf 不
mfbk 尔
mfbq 甭
mfhni 飘
mfhvo 瓢
mfj 平
mfln 剽
mfm 丕
mfmym 歪
mfnl 鄢
mfp 愿
mfr 否
mfvnd 孬
mg 王
mgabu 瑁
mgapp 琨
mgau 琶
mgb 再
mgbbe 瑷
mgbcd 琛
mgbcv 璎
mgbjj 珲
mgbme 瑗
mgbou 瑶
mgbt 珊
mgbuu 现
mgcsh 玢
mgdd 琳
mgdhe 玻
mgdmq 玮
mgegi 珐
mgfbc 琐
mgff 琰
mgha 珀
mgher 珞
mghi 瑰
mghjd 珠
mghon 珩
mghuc 瓒
mghwp 璁
mgi 玉
mgiav 琅
mgije 球
mgilg 班
mgilr 瑭
mgjmf 琮
mgjnu 琬
mgjrb 瑚
mgkmr 琦
mgksr 珈
mglmo 珧
mgln 到
mgmbc 顼
mgmgi 珏
mgmhl 琊
mgmmu 玩
mgmn 玎
mgmnr 珂
mgmso 琢
mgmvn 甄
mgnbe 琼
mgnl 郅
mgno 玖
mgohh 珍
mgoii 玲
mgoin 琴
mgoip 玳
mgok 玫
mgok 致
mgomn 瑜
mgph 瑟
mgpp 琵
mgqkd 臻
mgrmr 璐
mgrr 噩
mgrup 珉
mgrye 瑕
mgsj 珥
mgsjr 琚
mgsqf 玛
mgt 弄
mgtc 珙
mgtco 璞
mgtlk 瑛
mgtlm 瑾
mgtmc 琪
mgtmc 璜
mgumb 瑞
mguog 璀
mgvii 玑
mgvvw 瑙
mgwg 理
mgwlv 环
mgybp 珑
mgyed 璨
mgyiu 琉
mgyjj 琏
mgyk 玟
mgykg 斑
mgypo 璩
mgypu 琥
mgyr 玷
mgyso 璇
mgytj 璋
mgyub 璃
mhaf 原
mhhaf 鸦
mhnl 邪
mhog 雅
mhoiv 餮
mig 至
mihi 魂
miia 晋
mj 于
mj 干
mjln 刊
mjmbc 顸
mjnl 邗
mjok 敢
mk 天
mkg 压
mkhi 魇
mkmwl 靥
mkoiv 餍
mkp 憨
mkq 厍
mks 功
mkwl 厣
ml 丌
mlbo 两
mlby 雨
mllm 亚
mlm 工
mlwk 更
mm 二
mmbbp 丽
mmbc 项
mmf 示
mmg 垩
mmhaf 鹉
mmi 云
mmks 劲
mml 亓
mmln 刭
mmm 三
mmmbc 颈
mmmv 辰
mmn 亍
mmnl 邳
mmok 政
mmp 恶
mmr 吾
mmu 元
mmuu 鼋
mmvs 巧
mmyiu 巯
mn 丁
mnbm 殂
mnbnd 殍
mnc 銎
mnf 烈
mng 型
mngbt 殪
mnhjd 殊
mni 歹
mnii 残
mnir 殆
mnjbm 殖
mnjmc 殡
mnl 邛
mnlbk 殃
mnlmi 蛩
mnln 列
mnmbc 顶
mnmem 殛
mnne 殁
mnoah 殇
mnohh 殄
mnoim 歼
mnomo 殓
mnp 死
mnp 恐
mnpa 殉
mnr 可
mnrbc 殒
mnrrj 殚
mnryo 跫
mntlj 巩
mnyhv 裂
mo 仄
mob 丙
mobuu 觋
mof 燹
mogo 赝
mojka 猪
mok 攻
moln 劂
moo 巫
moog 雁
mphaf 鹂
mpnl 郦
mpylm 武
mr 石
mramh 砀
mrapv 碣
mrbb 硼
mrbgr 碉
mrbl 鬲
mrbmr 硐
mrbuu 砚
mrdam 碴
mrddo 础
mrdhe 破
mreed 磉
mresd 磲
mrfb 硝
mrfdq 磷
mrfh 砂
mrgg 硅
mrggu 硗
mrgi 砝
mrgit 磕
mrher 硌
mrhhj 碑
mrhio 砭
mrhml 斫
mrhpm 砥
mrhqi 硪
mrhs 砟
mrhsb 碥
mrhuk 砜
mrhwk 硇
mriih 碜
mritc 矿
mrjii 砖
mrjmm 碹
mrjmo 碇
mrjnu 碗
mrjp 砣
mrjwj 砗
mrkoo 硖
mrlln 砩
mrlwl 砷
mrmbc 硕
mrmcw 硒
mrmfj 砰
mrmj 矸
mrmlh 砑
mrmlk 硬
mrmrr 磊
mrmt 研
mrmtb 砺
mrmtn 硎
mrmwm 礓
mrni 矽
mrnl 酃
mrno 歌
mrno 砍
mrnot 磴
mrnqd 磔
mrnr 哥
mrobg 确
mrog 碓
mrogf 礁
mrom 砼
mrpko 碍
mrpp 砒
mrpsh 砌
mrptd 碟
mrpu 砘
mrqmc 碛
mrqmy 碡
mrslb 砸
mrsqf 码
mrstv 碾
mrt 豆
mrtbc 碘
mrtbf 礤
mrtbo 礞
mrtei 礴
mrtk 砹
mrtmc 磺
mrtqm 磋
mrttc 碰
mrtvi 磁
mrtyv 硭
mrumf 碳
mrvid 砾
mrvii 矶
mrvne 碌
mrybb 碲
mrybs 磅
mrycv 磙
mrydk 礅
mryiu 硫
mryoj 碎
mryr 砧
mryt 砬
mrytr 碚
msho 豕
msu 厄
mta 厝
mthhh 形
mtje 豉
mtjnu 豌
mtln 刑
mtm 豇
mtmbc 头
mtnl 邢
mtuo 厥
mtwb 厉
mu 兀
muhe 夏
mui 戛
mulmi 虺
mumbc 顽
mv 匚
mvdh 牙
mvdi 辱
mvlmi 蜃
mvni 瓦
mvnm 互
mvr 唇
mwahm 醒
mwaj 覃
mwamo 醍
mwapp 醌
mwbdi 酹
mwbmr 酮
mwbuc 贾
mwcsh 酚
mwd 栗
mwdi 酎
mwfd 粟
mwg 厘
mwhd 酥
mwher 酪
mwhgf 醺
mwhgr 酷
mwhgu 酰
mwhoe 覆
mwhs 酢
mwice 酸
mwill 酬
mwilr 醣
mwjkd 酵
mwjp 酡
mwjr 酤
mwjrb 醐
mwkrt 醢
mwln 副
mwmj 酐
mwmmf 票
mwmmp 酾
mwmn 酊
mwnir 酩
mwnob 醑
mwogf 醮
mwomd 酴
mwpa 酯
mwpd 酏
mwpm 酌
mwrhg 酲
mwrrk 酽
mwsmh 醪
mwsu 配
mwta 醋
mwtco 醭
mwtm 酣
mwtog 醛
mwtwt 醴
mwuk 酗
mwv 要
mwwot 酝
mwyfd 醚
mwyl 面
mwyoj 醉
mwypo 醵
mwyrd 醇
mwyrv 酿
mwytr 醅
mwyut 醯
my 下
mylf 焉
mylm 正
myp 忑
myvs 丐
n 弓
n 丁
nahu 免
napo 象
nau 色
nbdk 觖
nbdl 觫
nbfmu 觥
nbg 堕
nbg 角
nbhaf 鹬
nbhvo 觚
nbk 奂
nbks 勇
nboah 觞
nbop 隳
nbp 恿
nbrrj 觯
nbshq 解
nbuc 负
nbwli 触
nbyj 斛
nc 小
ncymr 詹
nd 子
ndbt 孟
ndhvf 孙
ndhvo 孤
ndmbb 孺
ndok 孜
ndpru 孢
ndu 孔
ndyvo 孩
nem 丞
nemsu 卺
nfaa 鲳
nfagi 鲥
nfail 鲫
nfapp 鲲
nfasm 鳎
nfawe 鳗
nfbgr 鲷
nfbou 鳐
nfdn 粥
nffdq 鳞
nfgce 鲮
nfgg 鲑
nfgr 鲒
nfhag 鳇
nfhd 稣
nfhdf 鳅
nfhvf 鲧
nfhxu 鲵
nfiku 鱿
nfir 鲐
nfjmu 鲩
nfjpa 鳍
nfkb 鲔
nflmy 鲱
nfmbl 鲕
nfmbm 鳕
nfmgr 鳄
nfmmp 鲡
nfmto 鳜
nfmwf 鳔
nfoae 鳆
nfodi 鲋
nfoip 鲶
nfold 鲦
nfpru 鲍
nfptd 鲽
nfqmb 鲭
nfseg 鲣
nfsje 鲰
nfsmi 鲟
nftgr 鳝
nftjs 鳓
nftq 鲜
nftwi 鳟
nftwt 鳢
nfvvw 鲻
nfwg 鲤
nfwle 鳏
nfwp 鳃
nfyck 鲛
nfyhs 鲂
nfyjj 鲢
nfypt 鲈
nfyrf 鲸
nfyx 鲚
ng 丑
ngmwm 疆
nhd 柔
nhe 及
nhli 虱
nhlii 蟊
nhoin 矜
nhoks 务
nhs 乃
nhsqf 骘
nhvo 弧
ni 弘
nibq 甬
nihq 犟
nijmc 夤
nili 强
ninh 矛
nini 多
ninn 予
nioiv 飧
niq 舛
nir 名
niy 外
nk 又
nk 廴
nkbu 瞀
nkc 鍪
nkf 煞
nkhaf 鹜
nkhg 廷
nkhym 延
nklmi 蝥
nklq 建
nksqf 骛
nkv 婺
nl 引
nl 阝
nlag 陧
nlamh 阳
nlav 限
nlavf 隰
nlbm 阻
nlbmp 隐
nlbof 际
nldhe 陂
nldw 陈
nlfhf 隙
nlgce 陵
nlgcg 陆
nlgyo 陡
nlhag 隍
nlhe 阪
nlhem 隆
nlheq 降
nlhhj 陴
nlhi 隗
nlhj 阡
nlhjm 陲
nlhs 阼
nljmu 院
nljp 陀
nljwj 阵
nlkmb 隋
nlkoo 陕
nlma 陌
nlmbv 陋
nlmmu 阮
nlmnr 阿
nlmrb 隔
nlmu 阢
nlmvm 陉
nlnhx 陷
nlodi 附
nloii 阴
nlomd 除
nlomo 险
nlpou 陶
nlppa 阶
nlppg 陛
nlrbc 陨
nlsje 陬
nltct 隘
nltpo 队
nltt 阱
nlwlb 隅
nlwmv 隈
nlybp 陇
nlyhs 防
nlykb 随
nlylh 陟
nlyr 阽
nlytj 障
nlyto 隧
nlytr 陪
nlyvo 陔
nman 弼
nmeii 鳋
nmfb 弥
nmike 鲅
nmilb 鳙
nmisb 鳊
nmjto 鲼
nmmfj 鲆
nmmlk 鲠
nmnim 弱
nmsu 危
nmvm 弪
nmwjr 鲴
nmyiu 疏
nmyr 鲇
nn 了
nnm 孑
nnmbc 预
nnmrb 鬻
nnnao 豫
nno 孓
nnpr 够
nnqo 承
no 久
no 欠
nob 胥
nof 灸
nog 坠
nohto 飞
nolmi 蛋
nomk 癸
nomrn 凳
nomrt 登
nonhe 发
npd 弛
nqd 桀
nqlmi 蟹
nrrj 弹
nsbt 盈
nsbul 鼐
nsf 尕
nsj 弭
nsmv 张
nsnd 孕
nsp 急
nti 戤
ntks 勐
ntnl 邓
nu 乙
nubu 眢
nudam 馇
nue 函
nuhaf 鸳
nui 兔
nuks 勉
nup 怨
nutbk 馓
nwf 鱼
