a 日
camvn 甑
can 钔
canw 镧
caph 锡
capp 锟
cau 钯
cav 银
cawe 镘
cb 钥
cbbr 锅
cbcn 铡
cbdi 锊
cbme 锾
cbmr 铜
cbms 锄
cbsd 铮
cbtu 钢
cbu 钼
cbuc 钡
ccc 鑫
ccnh 锑
ccr 铅
ccru 锐
cdhe 铍
cdoo 铼
cdwf 链
ceah 铴
cei 钗
cf 钬
cfb 销
cfbc 锁
cfbg 镗
cfbw 铛
cff 锬
cffs 铹
cfh 钞
cfqu 锩
cg 钍
cggu 铙
cgni 铸
cha 铂
chab 锦
chdf 锹
che 钣
chej 锋
cher 铬
chgi 铥
chgr 锆
chgu 铣
chhaf 鹈
chhh 钐
chhl 铆
chhw 镏
chie 贝
chjd 铢
chje 锻
chjg 锺
chjx 锸
chln 剃
chmbc 颁
chni 钒
choy 财
chqi 锇
chrf 钨
chud 镍
chxe 锼
ci 公
ciav 锒
cihs 铖
cii 钱
cijb 铺
cike 钹
cilb 镛
cimbc 颂
cipf 镳
cipp 铽
cism 翁
citc 镰
cite 镀
civ 钺
cj 针
cjbc 镇
cjbf 镲
cjcl 镩
cjig 铁
cjka 锗
cjkp 铑
cjks 铐
cjmc 镔
cjmo 锭
cjmo 镓
cjp 铊
cjr 钴
cjv 铵
ck 父
ckau 爸
ckb 铕
ckce 铩
ckcf 镣
ckhml 斧
cki 钛
ckjt 锛
cklb 钸
ckmgc 釜
cknin 爹
ckoo 铗
cksjl 爷
cl 丫
clll 钏
clmo 铫
cln 钊
clnc 镄
clsa 锏
clst 锎
clw 铀
clwv 镂
clx 锈
cmbw 镭
cmf 钚
cmgi 钰
cmhl 铘
cmn 钉
cmnr 钶
cmrb 镉
cmto 镢
cmvs 兮
cmwf 镖
cmwj 镡
cmym 钲
cmys 钙
cn 钇
cnau 铯
cndt 锰
cng 钮
cnii 镪
cnir 铭
cnkg 铤
cnkq 键
cnlh 弟
cnlr 锕
cnn 钌
cno 钦
cnot 镫
cnwa 镥
cob 钠
cog 锥
cogs 镌
coii 铃
coim 钎
coin 钤
comg 铨
comq 镎
comr 铪
coog 锉
cor 谷
cph 铋
cphp 锪
cpi 钓
cpim 钧
cppa 锴
cpr 钩
cpu 钝
cqhk 锲
cqmb 锖
crhaf 鹆
crhr 铝
crhu 兑
crlb 铞
crmg 锃
crno 欲
crrs 锷
crsl 却
cseg 铿
csh 分
cshc 贫
cshg 坌
cshp 忿
csht 盆
cshu 岔
csj 铒
csjj 镊
csjr 锯
csme 锓
csp 铌
csr 钷
css 钜
cssr 锔
cta 错
ctak 镆
ctca 镨
ctco 镤
ctct 镒
ctgk 镁
ctkr 锘
ctm 钳
ctmj 铧
ctoe 镬
ctw 锚
cu 钆
cumt 铠
cv 钕
cvid 铄
cvmi 锵
cvne 录
cvr 铷
cvvw 锱
cw 钿
cwa 曾
cwd 锞
cwg 锂
cwjr 锢
cwk 铟
cwl 钾
cwlg 锣
cwli 镯
cwlj 铎
cwp 锶
cwvf 镙
cy 钋
cybs 镑
cycb 镝
cyck 铰
cydk 镦
cyhm 铲
cyhn 钪
cyhr 锤
cyhs 钫
cyhv 铱
cyiu 铳
cyiu 锍
cyj 钭
cylb 铈
cyr 钻
cyrb 镐
cyrv 镶
cysk 镞
cyso 镟
cytg 钟
cytj 锌
cytp 镱
cytr 锫
cytu 镜
cyvi 铉
d 木
da 杳
dahu 楣
daiu 概
dam 查
damh 杨
danr 榈
danw 栏
dapp 棍
dasm 榻
dau 杷
dav 根
dbb 棚
dbcv 樱
dbdb 棘
dbdb 枣
dbln 刺
dblu 枧
dbmr 桐
dbnd 桴
dbt 栅
dbu 相
dci 松
dcnh 梯
dd 林
ddam 楂
ddcsh 棼
ddd 森
ddf 焚
ddh 材
ddhh 彬
ddhni 梵
ddi 村
ddixp 麓
ddk 樊
ddkmr 矾
ddkq 攀
